track,album,release_year,artists,popularity,genre
Sweet Feeling,Shadow,2024,Lizz Wright,32,blues
Heal Me,Heal Me,2024,Argyle,39,blues
Ain't No Fool,Late Night Blues,2023,"Gary Tunes, Eric Blues, Red Whiskey, Ricardo Tunes",38,blues
Long Time Ago,Long Time Ago,2024,Dimitris Loizos,35,blues
Lovin' on Ya,A Place to Stay,2023,Ivan Hartle,36,blues
Crazy Girl,Dark Songs,2020,Steinar Ytrehus,32,blues
Spin Me Round,Spin Me Round,2022,"Augie Bello, Casey Abrams",41,blues
Long Distance Woman,662,2021,"Christone ""Kingfish"" Ingram",38,blues
You Fool No One,Covers & Rarities,2021,"The Temperance Movement, Ian Paice",32,blues
Eyes Wide Open,Rebel,2024,Rob Tognoni,34,blues
All My Life,The Invisible Man,2024,Davy Knowles,34,blues
Calling On You,Calling On You,2024,Gumbo Kings,26,blues
Faster,Faster,2021,Samantha Fish,34,blues
Best Of Times,Best Of Times,2023,Kenny Wayne Shepherd,37,blues
This Man,That's What I Heard,2020,Robert Cray,37,blues
Always Free (Live in Austin),Love Transcends (Live in Austin),2022,Jackie Venson,35,blues
Young Man’s Dream,El Dorado,2020,Marcus King,40,blues
No Good,No Good,2023,Chase Walker Band,38,blues
Taking Me Higher,Taking Me Higher,2023,Keb' Mo',34,blues
Where You Been,Mirrors,2023,Matthew Scott,38,blues
I'm so Happy I Cry,Have You Lost Your Mind yet?,2020,"Fantastic Negrito, Tank and The Bangas, Tarriona 'Tank' Ball",29,blues
Movie Credits,Movie Credits,2023,OdinMann,34,blues
Split,A Place to Stay,2023,Ivan Hartle,34,blues
Exquisite Blues in the Endless Night,Vintage Swing Guitar Jazz - Timeless Melodies Rhythmic Grooves,2024,Chilled Blues,36,blues
Step In,I Be Trying,2021,Cedric Burnside,37,blues
"Afraid to Die,Too Scared to Live",Heartache by the Pound,2022,Kirk Fletcher,33,blues
Hope in Hell,Look Alive,2021,Black Pistol Fire,39,blues
Clotilda's On Fire,Uncivil War,2020,Shemekia Copeland,29,blues
We Wanna Boogie - Remastered 2022,Sun Records Originals: We Wanna Boogie,2023,Sonny Burgess,31,blues
California Loner,California Loner / Runaway From You,2024,Fantastic Negrito,29,blues
Bird in the Hand,DARKFIGHTER,2023,Rival Sons,32,blues
Morning Coffee,Morning Coffee,2023,Karen Souza,29,blues
Spiraling Down,Spiraling Down,2024,Joe Jordan,55,blues
Candy and Her Friends (feat. Lil Noid),Ohio Players (Trophy Edition),2024,"The Black Keys, Lil Noid",32,blues
Spiraling Down,Spiraling Down,2024,Joe Jordan,55,blues
You'll Pay,Ohio Players,2024,The Black Keys,34,blues
Room of Dreams,Solitary Traveller,2024,John Haydock,32,blues
The Go Getter,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,32,blues
Read Em And Weep,Ohio Players,2024,The Black Keys,34,blues
7 O'Clock - 30th Anniversary Version,7 O'Clock (30th Anniversary Version),2021,The Quireboys,33,blues
Won't Get Any Better,Blue River Rising,2021,Michael van Merwyk,35,blues
The Magic,The Magic,2023,Eva Carboni,32,blues
The Shadow,The Shadow,2020,Blues Cousins,34,blues
Shake It Up - Acoustic,Plug It In (Acoustic),2023,Mitch Grainger,33,blues
Turn,Covers & Rarities,2021,The Temperance Movement,34,blues
I'm Gonna Move To The Outskirts Of Town - Remastered 2024,In Session (Deluxe Edition / Remastered 2024),2024,"Albert King, Stevie Ray Vaughan",36,blues
Heartbreak Hotel,Heartbreak Hotel,2021,Karen Souza,23,blues
Put Your Money On Me,Put Your Money On Me,2024,The Answer,29,blues
Cry to Me - Remastered,Cry to Me (Remastered),2020,Solomon Burke,29,blues
See You Again,Restless,2024,The Commoners,34,blues
The Last Time,Saturday Night,2024,The Vintage Explosion,38,blues
Carry My Name,Time Is A Thief,2024,Marc Broussard,31,blues
U Shake Me,U Shake Me,2024,"Roll Mega, Son Little, Eric Krasno",32,blues
Don't Tell Me No Lies,Old Habits,2022,The Deadbeat Cousins,41,blues
Dipped In Bleach - Stripped Back,stripped back,2022,Liam St. John,49,blues
Looking for a Fight,The Southern,2024,The Cold Stares,35,blues
Jordan,Jordan,2024,"Elles Bailey, Redtenbacher's Funkestra",33,blues
Run From Love,Let's Waste Some Time,2023,"Gary Tunes, Eric Blues, Red Whiskey",35,blues
4th Street Alley,Home Sweet Home,2023,Joe Flip,34,blues
Still Rockin',Still Rockin',2020,Delbert McClinton,33,blues
Nobody Wants To Be Lonely,Black Bayou,2023,Robert Finley,30,blues
Is It You,Is It You,2024,Bryan Elijah Smith,41,blues
Rest them Old Bones,Mirrors,2023,Matthew Scott,36,blues
Hit The Road Jack (1960 Recording Remastered),Six Of The Best - Soul,2021,Ray Charles,35,blues
Little By Little,Just Won't Burn (25th Anniversary Deluxe Edition),2023,Susan Tedeschi,37,blues
Crawling Kingsnake,Crawling Kingsnake,2021,The Black Keys,33,blues
New Set of Rays,Catfish Cake,2020,Rob Tognoni,34,blues
KILLING ME,EFECTO MARIPOSA,2024,Møndlicht,36,blues
Smooth Blues,Smooth Blues Music: Whiskey Blues,2024,Chilled Blues,37,blues
Your Team Is Looking Good,Dropout Boogie,2022,The Black Keys,36,blues
Gypsy Queen - Live,LIVE with LOOPER No.1,2023,Markus K.,33,blues
Cissy Strut,Soundchecks and Tape Decks,2024,Rosie & the Revival,35,blues
Call My Name (Extended Mix),Call My Name (Extended Mix),2022,"Eva Carboni, Mick Simpson",32,blues
Hey Bartender,Marshall Texas Is My Home,2021,Floyd Dixon,28,blues
She’s On Fire,Hardware,2021,Billy F Gibbons,32,blues
Same Old Blues,Grandview Drive,2020,Eric Steckel,34,blues
California Loner,Son of a Broken Man,2024,Fantastic Negrito,26,blues
Coming for You,Unreleased,2020,Oli Brown,34,blues
Sometimes I Love You,"The Amogla Sessions, Vol. 1",2022,Floyd Lee & His Mean Blues Band,34,blues
Voodoo Woman - Album Outtake,Just Won't Burn (25th Anniversary Deluxe Edition),2023,Susan Tedeschi,37,blues
Too Much,Find a Better Way,2022,The Commoners,34,blues
Why I Sing The Blues,Back to the Blues,2024,Dimitris Loizos,34,blues
She's A Self Made Man,Self Made Man,2020,Larkin Poe,30,blues
Sweet Mariona,El Dorado,2020,Marcus King,44,blues
Slow Sunday June,If These Walls Could Talk,2022,"Luke Winslow-King, The Sensational Barnes Brothers",33,blues
Accept My Love,Blues In My DNA,2024,Ronnie Baker Brooks,33,blues
Heart of a Child,Meanwhile,2024,Eric Clapton,32,blues
Undertow,The Deep and the Dirty,2023,Eric Johanson,35,blues
Blind Without You,The Winding Way,2023,The Teskey Brothers,31,blues
Drunk on Your Love,Drifter,2024,Jovin Webb,33,blues
Love & Devotion,You Don't Know Me,2023,HeavyDrunk,33,blues
Shout Into The Noise,Shout Into The Noise,2022,Ash Grunwald,42,blues
Wolf In Sheepskin,Only The Wild Ones,2023,Jax Hollow,34,blues
Home Sweet Home,Home Sweet Home,2023,"Joe Flip, Swanny Rose",35,blues
Can't Take No More (feat. Marcus King),The Sun is Shining Down,2022,"John Mayall, Marcus King",31,blues
I Forgot To Be Your Lover,Ohio Players (Trophy Edition),2024,The Black Keys,31,blues
Stay All Night,Delta Kream,2021,The Black Keys,37,blues
Please Me (Till I’m Satisfied),Ohio Players,2024,The Black Keys,33,blues
Barefoot In Heaven,Done Come Too Far,2022,Shemekia Copeland,31,blues
Help Me Find My Drawls,Help Me Find My Drawls,2024,Tonio Armani,53,blues
You Got It (And I Need It),Black Bayou,2023,Robert Finley,29,blues
Someone In This Room (feat. Bailey Zimmerman),That Ain't No Man That's The Devil,2024,"Jessie Murph, Bailey Zimmerman",61,blues
Chills and Thrills (feat. Mike Campbell),Chills and Thrills (feat. Mike Campbell),2021,"John Mayall, Mike Campbell",33,blues
Boogie Woogie Queen,Boogie Woogie Queen (LenneBrothers Band sings the Best of The Lennerockers),2022,LenneBrothers Band,34,blues
No Other Woman (OurVinyl Sessions),Greyhounds | OurVinyl Sessions,2022,"Greyhounds, OurVinyl",39,blues
Juke Joint,Hill Country Love,2024,Cedric Burnside,34,blues
Breaking Up,Whiskey Blues | Best of Slow Blues/Rock,2021,BluesBiz,36,blues
One Step Forward,Love Transcends,2021,Jackie Venson,31,blues
Lady Love Divine,Lady Love Divine,2023,Philip Sayce,35,blues
Crossroads feat. Gary Clark Jr.,Orgy of the Damned,2024,"Slash, Gary Clark Jr.",35,blues
Our Time In The Sun,Our Time In The Sun,2024,Jeremie Albino,32,blues
Louise,Delta Kream,2021,The Black Keys,36,blues
Coal Black Mattie,Delta Kream,2021,The Black Keys,36,blues
Devil Teasin' Me,Restless,2024,The Commoners,33,blues
Keep My Name Outta Your Mouth,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,31,blues
Romely,Romely,2024,PAPA | PEET,36,blues
The Game,Shining in the Half Light,2022,Elles Bailey,34,blues
Good Timin',Keepin On,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",36,blues
Woman,Bad Luck & The Blues,2023,Laurence Jones,33,blues
Riley B. Gone,Riley B. Gone,2024,Tim Wolf,32,blues
Stackin’ Bones,Hardware,2021,"Billy F Gibbons, Larkin Poe",33,blues
Bad News,Ace Monroe,2023,Ace Monroe,34,blues
You Still Got Me - Edit,You Still Got Me,2024,Beth Hart,33,blues
Drown My Soul,Drown My Soul,2024,Record Loss,34,blues
Gunslinger,Music From Crazy Hearts,2024,Wesley Dean,36,blues
When Will I Let Her Go,S.O.S. 4: Blues For Your Soul,2023,"Marc Broussard, Joe Bonamassa",34,blues
Don't Wanna Die Today,Salvation,2024,Quinn Sullivan,34,blues
Whiskey Blues - Alcoholic music,Vintage Swing Guitar Jazz - Timeless Melodies Rhythmic Grooves,2024,Chilled Blues,35,blues
Say You Will,El Dorado,2020,Marcus King,37,blues
Five Dollars,Five Dollars,2020,Black Joe Lewis & The Honeybears,35,blues
Hear My Dear,I Am The Moon: I. Crescent,2022,Tedeschi Trucks Band,40,blues
Midnight Tonic,Keep on Drinking,2020,Malted Milk,30,blues
Gossip,Gossip,2024,Steven Rodriguez,35,blues
Hit the Road Jack,True Genius,2021,Ray Charles,73,jazz
1963,Brief Stories About the Universe,2021,Xavi Castle,46,jazz
deep in it,deep in it,2023,"berlioz, Ted Jasper",70,jazz
Hit the Road Jack,Soul,2021,Ray Charles,68,jazz
jazz is for ordinary people,jazz is for ordinary people,2023,berlioz,66,jazz
Smoke,Smoke,2020,Pugface,38,jazz
Easy On Me,Easy On Me,2022,"Changes, Elin Bemark",55,jazz
Back from Where I Started - Instrumental,The Instrumental Versions,2021,De-Phazz,56,jazz
No One's Watching Me (feat. Olivia Dean),"Dance, No One's Watching",2024,"Ezra Collective, Olivia Dean",68,jazz
If You Love Me,Sunset In The Blue,2020,Melody Gardot,58,jazz
Someone Like You,Ivory,2023,Junity,52,jazz
Did I Remember,Send For Me,2022,Catherine Russell,61,jazz
I'm Yours,I'm Yours,2022,"Changes, Elin Bemark",52,jazz
Blinding Lights,Songs Vol. 2,2023,The Northern Lights Quintet,52,jazz
All Of Me - New Stereo Remaster 2024,Her Most Famous Recordings (New Stereo Remaster 2024),2024,Billie Holiday,54,jazz
Talk to me.,Talk to me.,2024,Bolden.,64,jazz
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Reimagined,2022,Junity,51,jazz
Don't Stop Believin',Don't Stop Believin',2022,"Changes, Elin Bemark",50,jazz
joycelyn's dance,open this wall,2024,berlioz,62,jazz
A Sky Full of Stars,More Than Words,2024,More More,49,jazz
Creep,Late Hours,2022,The Blue Versions,49,jazz
As the World Turns - Instrumental,The Instrumental Versions,2021,De-Phazz,52,jazz
Thinking out Loud,Jazz Covers (Vol. 1),2022,"Rio Branco, Jazz Covers Club",49,jazz
Forever Young,More Than Ever,2024,More More,49,jazz
Time,Time,2024,Olivia Dean,67,jazz
As It Was,Songs Vol. 2,2023,The Northern Lights Quintet,48,jazz
Imagine,Reimagined,2022,Junity,49,jazz
Don't Speak,Songs Vol. 3,2023,The Northern Lights Quintet,48,jazz
Halo,More to Come,2024,More More,48,jazz
Running Up That Hill (A Deal With God),Ivory,2023,Junity,48,jazz
Never Roam No More,Bohemia After Dawn,2020,"The Bahama Soul Club, John Lee Hooker",54,jazz
Feeling Good,Feeling Good,2022,"Nenei, Stella Starlight Trio",47,jazz
When We Were Young,Songs Vol. 1,2023,The Northern Lights Quintet,47,jazz
Dancing On My Own,More Than Ever,2024,More More,47,jazz
Take My Breath Away,Songs Vol. 4,2023,The Northern Lights Quintet,47,jazz
Wilting,Wilting,2024,Glass Trio,64,jazz
The Rhythm of the Night,The Rhythm of the Night,2022,"George White Group, Dinah York",48,jazz
Cry Me a River,Cry Me a River,2023,Dominick Farinacci,58,jazz
Girl on Fire,Forever More,2024,More More,47,jazz
Addicted to You,Addicted to You,2021,Jazzystics,46,jazz
Wonderwall,Jazz Covers (Vol. 1),2022,"Rio Branco, Jazz Covers Club",46,jazz
Say You'll Be There,LIVING ROOM 2,2021,"Martina DaSilva, Michael Stephenson",52,jazz
Put Your Records On,Put Your Records On,2021,The Cooltrane Quartet,46,jazz
Theme from Joo,Pit Sounds,2024,"De-Phazz, Joo Kraus",49,jazz
We Three,Just Coolin',2022,Cory Weeds,55,jazz
I'm in Love,Royal,2020,Ayọ,51,jazz
Yesteryear,Yesteryear,2023,"Snorre Kirk, Michael Blicher",56,jazz
Right This Time,The Instrumental Versions,2021,De-Phazz,49,jazz
U & I,U & I (HOUSE OF GROOVE),2023,"FKJ, Darius, WAYNE SNOW, Crayon, The NightBirds",57,jazz
Answer Me,Answer Me,2024,Hans Ulrik,58,jazz
Ludlow,Easy Dreamin',2022,James Jackson Jazz Trio,60,jazz
Back To Black,Late Hours,2022,The Blue Versions,45,jazz
I've Been Thinking About You,I've Been Thinking About You,2021,Jazzystics,46,jazz
Body and Soul,Compton's Finest,2023,Brandon Sanders,53,jazz
One Dance,One Dance,2024,More More,45,jazz
From Paris With Love - Single Version,Sunset In The Blue,2020,Melody Gardot,53,jazz
Fly Me To The Moon,Ivory,2023,Junity,45,jazz
The Lemonade Song,The Lemonade Song,2020,"Pink Martini, China Forbes, Thomas Lauderdale",46,jazz
It Had To Be You,Alone Together,2022,"Lara Louise, Colm Ó Riain",53,jazz
Levitating,Jazz & Chill Out,2022,"Jazzystics, Nenei",44,jazz
Moonglow,Benny Goodman Remember Where Or When,2022,Benny Goodman Sextet,51,jazz
Breath Beside Me,The Instrumental Versions,2021,De-Phazz,46,jazz
something will happen,open this wall,2024,berlioz,57,jazz
Misty - Remastered 2020,Gemini (Octave Remastered Series),2020,Erroll Garner,54,jazz
Hello,Sunset Vibes,2024,The Blue Versions,44,jazz
Umbrella,A Little Bit More,2024,More More,44,jazz
Ithaka,Everything I Love,2023,"Copenhagen Jazzexperience, Jacob Christoffersen, Claus Waidtløw",53,jazz
Make You Feel My Love,Reawakened,2024,Junity,45,jazz
Dawn in LA.,Dawn in LA.,2024,Bolden.,57,jazz
Always Remember Us This Way (with Elin Bemark),Jazz Reimagined - Vol I (with Elin Bemark),2024,"Changes, Elin Bemark",44,jazz
Sex on Fire,Farmore Jazz EP 1,2023,Farmores,43,jazz
Old Folks,Friendship,2023,"Erik von Spreckelsen, Marek Konarski",53,jazz
Reverence,Reverence,2024,Re:um,56,jazz
Africa,Keeping Company,2024,"Bill Laurance, Michael League",53,jazz
I Get Along Without You Very Well,I Get Along Without You Very Well,2024,Eric Rowland,54,jazz
Tip Your Hat,Something About Her Smile,2023,6th Street Jazz,57,jazz
Best Friend,Typical of Me EP,2021,Laufey,64,jazz
On Late Nights,On Late Nights,2023,"Snorre Kirk, Stephen Riley",53,jazz
Blinding Lights,Moon Lovers,2020,"James Farrelli, Sarah Menescal",42,jazz
Love Theme From Spartacus - Remastered 2023,Eastern Sounds (Remastered 2023),2024,Yusef Lateef,55,jazz
Amber,Amber,2024,Ametrine Skies,57,jazz
Quiet Nights Of Quiet Stars (Corcovado),Work From Home with Oscar Peterson,2020,Oscar Peterson Trio,53,jazz
Unspoken,Unspoken,2024,Charlie James-Walker,55,jazz
C’est Magnifique,Sunset In The Blue,2020,"Melody Gardot, António Zambujo",49,jazz
Autumn In New York,This Dream Of You,2020,Diana Krall,50,jazz
Sunset over Recife,Sunset over Recife,2023,Cole Peers trio,51,jazz
It'll Never Happen Again,Black Acid Soul,2021,Lady Blackbird,50,jazz
Minnie The Moocher,Minnie The Moocher,2021,Brothers Moving,54,jazz
As Long as You Love Me,Songs Vol. 3,2023,The Northern Lights Quintet,42,jazz
Last Forever,Last Forever,2020,Shanice Green,49,jazz
Paper Planes,Farmore Jazz EP 2,2023,Farmores,42,jazz
Don't Start Now,Songs Vol. 1,2023,The Northern Lights Quintet,41,jazz
The other way around,The other way around,2024,Camille Blanche,57,jazz
Come Away With Me,Songs I Wish I Wrote,2022,The Blue Versions,41,jazz
Ripples of a Stream,Ripples of a Stream,2022,Jacob Vidal,57,jazz
"Lover Man (Oh, Where Can You Be?)","Lover Man (Oh, Where Can You Be?)",2021,Flora Martínez,47,jazz
It's In The Middle Of The Night,Jazz at Night,2022,Tate Jackson Trio,55,jazz
Bésame Mucho,Bésame Mucho,2020,"Edna Vazquez, Pink Martini",41,jazz
Song For Fraser,Becoming (Music from the Netflix Original Documentary),2020,Kamasi Washington,52,jazz
Flow,Flow,2024,Isaiah Lewis,54,jazz
Evening Song,First Song,2024,"Søren Bebe Trio, Søren Bebe",52,jazz
r&r,jazz is for ordinary people,2023,berlioz,54,jazz
Strangers in the Night,Strangers in the Night,2022,Jade Vieira,49,jazz
Tangeri,Here Now,2023,"Søren Bebe Trio, Søren Bebe",50,jazz
A Hard Day's Night,Sunday Morning,2022,"Les Crossaders, Deborah Dixon",43,jazz
After Winter Comes Spring,After Winter Comes Spring,2023,Vendla,51,jazz
Sonoran Desert,Like a Sunday,2024,Emilie Schiøtt,46,jazz
Estate,Estate,2023,"Mellow In Blue, Anders Mogensen, Johnny Åman, Erlend Slettevoll, Mathias Heise",48,jazz
I´m a Fool to Want You,I´m a Fool to Want You,2020,"Flora Martínez, Jose Reinoso, Marcelo Kimura, Fi Maróstica",44,jazz
"It's Been a Long, Long Time (with Harry James & His Orchestra)",The Kitty Kallen Story,2022,"Kitty Kallen, Harry James",58,jazz
Ain’t Nobody’s Biz-Ness If I Do,Bohemia After Dawn,2020,The Bahama Soul Club,47,jazz
Alone Together,Alone Together,2022,"Lara Louise, Grant Levin",48,jazz
Chasing Raindrops,Chasing Raindrops,2023,Shay Walsh,54,jazz
C'est si bon,C’est si bon,2020,"Thomas Dutronc, Iggy Pop, Diana Krall",47,jazz
Dancing in the Dark,Dancing in the Dark,2021,48th St. Collective,41,jazz
You Go To My Head,You Go To My Head,2024,Tim Franks Trio,52,jazz
Short Intermission,Short Intermission,2024,Arto Ferrara,54,jazz
Love To Be Happy,Love To Be Happy,2022,Magpie Jazz Trio,53,jazz
open this wall,open this wall,2024,berlioz,54,jazz
A Little Brighter Every Day,A Little Brighter Every Day,2022,Brandon's Three,49,jazz
Young At Heart,Young At Heart,2023,Most Iverson,52,jazz
Cosme Velho,Cosme Velho,2022,El Equipo Del Norte,49,jazz
The First Step,The First Step,2023,Baker St.,53,jazz
All My Tomorrows,All My Tomorrows,2023,Figgy Mold,52,jazz
Forever Promises,Forever Promises,2022,Magpie Jazz Trio,51,jazz
Till There Was You,Till There Was You,2023,Mayfare Trio,53,jazz
how insensitive,Dindi,2020,Clube no norte,48,jazz
Mango,Bohemia After Dawn,2020,"The Bahama Soul Club, Arema Arega",45,jazz
Love Theme From Chinatown,Don't Talk (Put Your Head on My Shoulder),2024,Carl Bagge,51,jazz
The Look Of Love,The Look Of Love,2023,Midtown Players,48,jazz
Foz Do Iguaçu,Foz Do Iguaçu,2022,da Suécia,49,jazz
Midnight Passion,Midnight Passion,2023,Gabriel Gonzalez,53,jazz
Cheek to cheek,Cheek to cheek,2023,Cole Peers trio,49,jazz
I Can’t Make You Love Me,Continuance,2023,Joey Alexander,49,jazz
Tango Del Fuego,"Voodoo Sonic (The Trilogy, Pt. 3)",2020,"Parov Stelar, Georgia Gibbs",49,jazz
All I See In You,All I See In You,2023,Most Iverson,52,jazz
Twenty Somethings,Twenty Somethings,2022,The Central Park North,52,jazz
Fools Rush In,Fools Rush In,2022,The Southern Belle,50,jazz
Moon River,Sunset In The Blue,2020,Melody Gardot,48,jazz
Ain't No Sunshine,Jazzscape Vol. I,2024,Mosaic Jazz Trio,40,jazz
Bluesette,Bluesette,2023,Nouvelle Marée,53,jazz
From Paris With Love - Single Version,From Paris With Love,2020,Melody Gardot,47,jazz
Soulful Serenade,Soulful Serenade,2024,Anthony Hide Trio,53,jazz
I've Got You Under My Skin,Sinatra,2020,Matt Dusk,38,jazz
De Tor Ahead,Time for Ballads - The Maene Sessions,2022,Rob Van Bavel,48,jazz
You Never Say You're Sorry,Lazy Art,2022,Martin Landström,51,jazz
In the Wee Small Hours of the Morning,Friendship,2023,"Erik von Spreckelsen, Marek Konarski",48,jazz
Nostalgia,Nostalgia,2023,Belmont Central,50,jazz
Dancing Shadows,Dancing Shadows,2023,Dries Riesen,50,jazz
Sicily' Box,Sicily' Box,2022,"Venna, Yussef Dayes, Marco Bernardis, Rocco Palladino",56,jazz
Sombra La Lua,Sombra La Lua,2023,Billie Shaw,48,jazz
Vamos lá,Vamos lá,2024,Dave Oakley trio,49,jazz
Coração Madura,Coração Madura,2020,Téo Freire,46,jazz
If you could be anywhere.,If you could be anywhere.,2024,Bolden.,53,jazz
Home town,Home town,2023,Cole Peers trio,52,jazz
Verano,Verano,2023,Vendla,48,jazz
"Forget About It, Al",Sally Waits,2022,Three Four Trio,49,jazz
Liljeholmsviken,Liljeholmsviken,2023,Vendla,48,jazz
O Amor é Complicado,Amore e Complicado,2022,Pablo Ilanda Trio,47,jazz
Time Passing Slowly,Time Passing Slowly,2022,Southside Trio,47,jazz
Effortlessly,Effortlessly,2022,Eleonora Kouneni,46,jazz
We'll Be Together Again,Lazy Afternoon,2024,"Copenhagen Jazzexperience, Jacob Christoffersen, Claus Waidtløw",49,jazz
Florianópolis,Florianópolis,2023,Bedford and 7th,47,jazz
Night Birds (7” Version),All Around the World (40th Anniversary Edition),2020,Shakatak,45,jazz
Ain't Got No / I Got Life,Feeling Good: Her Greatest Hits And Remixes,2022,Nina Simone,44,jazz
Serevine,Serevine,2024,A Whisper,55,jazz
Suzanne (feat. Gregory Porter),Suzanne,2022,"Here It Is, Gregory Porter",46,jazz
Raining but It's Ok,Raining but It's Ok,2024,"dublon, Tour-Maubourg, manon",52,jazz
Holding Onto Dawn,Holding Onto Dawn,2024,Novo Stella,54,jazz
Presságio,Presságio,2023,Marcio Philomena,47,jazz
Prelude,Prelude,2024,Luke Marantz Trio,52,jazz
Can't Help Loving That Man,Can't Help Loving That Man,2023,Kingsbury Station,50,jazz
My Sweetest You,My Sweetest You,2023,Benjamine Leroy Quartet,49,jazz
In Your Arms,In Your Arms,2024,Noah Henderson,55,jazz
California and Me,Bewitched,2023,"Laufey, Philharmonia Orchestra",61,jazz
Flowers,Flowers,2023,Kaiak,45,jazz
This Is Our Year,This Is Our Year,2023,"Thomas Sejthen Trio, Thomas Sejthen, Mads Ole Erhardsen, Jesper Bo Knudsen, Søren Bigum",50,jazz
Blue Water,Blue Water,2024,Joel Owen,55,jazz
Clouds,Sunday,2021,"Portraits in Jazz, Nikolaj Hess, Claus Waidtløw",47,jazz
Hidden Harmonies,Hidden Harmonies,2023,Duponte et Duponte,51,jazz
Early Spring,Early Spring,2024,Tom Francis,52,jazz
L´amore in silenzio,L´amore in silenzio,2024,Michael Lavigne,55,jazz
My Baby Just Cares for Me,Feeling Good: Her Greatest Hits And Remixes,2022,Nina Simone,42,jazz
Always on my mind,Always on my mind,2022,Lisa Östergren,43,jazz
Our Time,Our Time,2024,Timothy Reisen,54,jazz
Georgia on My Mind,True Genius,2021,Ray Charles,60,jazz
Solitude,Standards by the Nordic Quintet,2024,"Ari Bragi Kárason, Karl-Martin Almqvist, Carl Winther, Anders Mogensen",48,jazz
Loving You (feat. Maverick Sabre),Loving You / Don't Let Me Go,2024,"Jorja Smith, Maverick Sabre",52,jazz
Take on Me,Take on Me,2022,Kaiak,44,jazz
Stardust,Samara Joy,2021,Samara Joy,50,jazz
Romeo's Mood,Romeo's Mood,2022,6th Street Jazz,48,jazz
Horizon,Horizon,2024,Luke Marantz Trio,50,jazz
Get Us a Cab,Get Us a Cab,2024,George Agate,55,jazz
Stars Above,Stars Above,2023,Nordic Light Trio,52,jazz
Worry and Gossip,Worry and Gossip,2023,Courtney Salas Group,50,jazz
Shadows of You,Shadows of You,2024,Sverrir Audland,51,jazz
i've got a crush on you,i've got a crush on you,2023,Hunter Paige,52,jazz
Ask Me Now,Back to the Roots,2024,"Erik von Spreckelsen, Marek Konarski",47,jazz
Dindi,Dindi,2022,Midtown Players,47,jazz
Love Your Grace,Tremors in the Static,2022,Vega Trails,50,jazz
Us - A COLORS SHOW,Us - A COLORS SHOW,2022,FKJ,51,jazz
Quiet Nights Of Quiet Stars (Corcovado),Quiet Nights Of Quiet Stars (Corcovado),2024,Lara Louise,45,jazz
Sometimes It Snows In April,The Next Door,2022,Julia Hülsmann Quartet,48,jazz
Brisa do Mar,Brisa do Mar,2022,Sara Santos,47,jazz
Pearl-button,Pearl-button,2023,Meadowpoints,51,jazz
Ascent,Balance Point,2020,"Art Hirahara, Joe Martin, Rudy Royston",47,jazz
I've Been Thinking About You,Jazz & Chill Out,2022,Jazzystics,38,jazz
Sunset In The Blue,Sunset In The Blue,2020,Melody Gardot,46,jazz
Deja Vu,Deja Vu,2024,"dublon, Con Cook",52,jazz
When You Smile,Whiskey Blues | Best of Slow Blues/Rock,2021,BluesBiz,51,jazz
Beyond the Sea,Beyond the Sea,2024,Jill Barber,49,jazz
Mirrors,Gangbusters Melody Club,2024,Caravan Palace,40,jazz
You Go to My Head,Standards by the Nordic Quintet,2024,"Ari Bragi Kárason, Karl-Martin Almqvist, Carl Winther, Anders Mogensen",47,jazz
I'm Not the One,I'm Not the One,2021,Les Crossaders,37,jazz
Don't Know Why,Don't Know Why,2022,Naira Fonseca,46,jazz
Moon Side,Rue Crémieux,2022,The Groove Trio,49,jazz
Love on a Lonely Street,Love on a Lonely Street,2023,The Ebbing Tides,50,jazz
Everybody Knows,Everybody Knows,2021,Karen Souza,43,jazz
Cycles,Superkilen,2024,Svaneborg Kardyb,51,jazz
We Will Never Meet Again,Where the Wild Clematis Grow,2021,John Rae,48,jazz
Castles in the Air,Castles in the Air,2020,Laura & Anton,44,jazz
November Fall,November Fall,2024,Farmer Street Quartet,50,jazz
Come on... Lucky!,Come on... Lucky!,2023,The Three Queens,50,jazz
Hope Street,Hope Street,2023,Martin Hoper,51,jazz
Dim The Lights,Dim The Lights,2024,Wes Ivory,54,jazz
Maze of Tranquility,Maze of Tranquility,2022,Martin Landström,49,jazz
"Ack Värmeland, Du Sköna",Art Roho Serving Hannes Bennich,2023,"Art Roho, Hannes Bennich",48,jazz
Belém,Belém,2023,Tyree,46,jazz
Acadia,Acadia,2023,Bobby Katz Quartet,48,jazz
Lonely as a Cloud,Lonely as a Cloud,2022,South North,50,jazz
Doyers Street,Doyers Street,2024,Jakob München,54,jazz
I Still Haven't Found What I'm Looking For,I Still Haven't Found What I'm Looking For,2022,Tom Rogers Band,43,jazz
Did you dream too,Did you dream too,2023,Noel Hayes,51,jazz
A Flower Is a Lovesome Thing,Straight Road,2022,"Gathering in Jazz, Claus Waidtløw, Heine Hansen, Anders Mogensen",47,jazz
The Very Thought Of You,The Very Thought Of You,2022,Rudy Winston,51,jazz
New Attitude,New Attitude,2024,"Club des Belugas, Ester Rada",42,jazz
